MONTH_MON,YEAR,APT_NAME,STATE_NAME,FLT_TOT_1
APR,2020,Stokmarknes Skagen,Norway,58
APR,2020,Svalbard Longyear,Norway,93
APR,2020,Szczecin - Goleniów,Poland,31
APR,2020,Thessaloniki,Greece,427
APR,2020,Tromsø,Norway,2063
APR,2020,Trondheim,Norway,1376
APR,2020,Vadsø,Norway,429
APR,2020,Vardø Svartnes,Norway,9
APR,2020,Værøy,Norway,69
APR,2020,Warszawa - Chopina,Poland,902
APR,2020,Warszawa - Modlin,Poland,107
APR,2020,Waterford,Ireland,6
APR,2020,Wroclaw - Strachowice,Poland,208
APR,2020,Yerevan,Armenia,207
APR,2020,Zakinthos,Greece,57
APR,2021,Aberdeen,United Kingdom,1602
APR,2021,Aktion,Greece,64
APR,2021,Alesund,Norway,566
APR,2021,Alta,Norway,656
APR,2021,Amsterdam - Schiphol,Netherlands,14442
APR,2021,Andenes,Norway,311
APR,2021,Athens,Greece,6968
APR,2021,Bardufoss,Norway,207
APR,2021,Batsfjord,Norway,172
APR,2021,Belfast - Aldergrove,United Kingdom,1141
APR,2021,Belfast - City Airport,United Kingdom,495
APR,2021,Bergen,Norway,4724
APR,2021,Berlevåg,Norway,116
APR,2021,Biggin Hill,United Kingdom,1114
APR,2021,Birmingham,United Kingdom,1038
APR,2021,Bodø,Norway,2300
APR,2021,Bristol,United Kingdom,527
APR,2021,Bronnoysund Bronnoy,Norway,482
APR,2021,Bydgoszcz,Poland,76
APR,2021,Connaught,Ireland,4
APR,2021,Corfu,Greece,258
APR,2021,Cork,Ireland,791
APR,2021,Donegal,Ireland,133
APR,2021,Dublin,Ireland,3116
APR,2021,East Midlands,United Kingdom,3010
APR,2021,Edinburgh,United Kingdom,1273
APR,2021,Farnborough,United Kingdom,1344
APR,2021,Florø,Norway,534
APR,2021,Forde Bringeland,Norway,200
APR,2021,Gdansk,Poland,1003
APR,2021,Glasgow,United Kingdom,1087
APR,2021,Groningen,Netherlands,825
APR,2021,Göteborg,Sweden,1102
APR,2021,Hammerfest,Norway,801
APR,2021,Harstad - Narvik Evenes,Norway,520
APR,2021,Haugesund,Norway,283
APR,2021,Helsinki - Vantaa,Finland,3371
APR,2021,Heraklion,Greece,800
APR,2021,Honningsvåg Valan,Norway,150
APR,2021,Katowice - Pyrzowice,Poland,871
APR,2021,Kefallinia,Greece,109
APR,2021,Kerry - Farranfore,Ireland,172
APR,2021,Khania - Souda,Greece,669
APR,2021,Kiev - Boryspil,Ukraine,4862
APR,2021,Kirkenes Høybuktmoen,Norway,539
APR,2021,Kos,Greece,205
APR,2021,Krakow - Balice,Poland,1187
APR,2021,Kristiansand Kjevik,Norway,515
APR,2021,Kristiansund Kvernberget,Norway,683
APR,2021,Lakselv Banak,Norway,197
APR,2021,Leknes,Norway,348
APR,2021,Lelystad,Netherlands,203
APR,2021,Lodz - Lublinek,Poland,193
APR,2021,London - City,United Kingdom,381
APR,2021,London - Gatwick,United Kingdom,1035
APR,2021,London - Heathrow,United Kingdom,10338
APR,2021,London - Luton,United Kingdom,2391
APR,2021,London - Stansted,United Kingdom,3058
APR,2021,Londonderry - Eglinton,United Kingdom,154
APR,2021,Lublin,Poland,61
APR,2021,Maastricht-Aachen,Netherlands,725
APR,2021,Manchester,United Kingdom,1836
APR,2021,Mehamn,Norway,199
APR,2021,Mikonos,Greece,201
APR,2021,Mo i Rana Røssvoll,Norway,356
APR,2021,Molde Årø,Norway,236
APR,2021,Mosjøen Kjærstad,Norway,309
APR,2021,Namsos Høknesøra,Norway,183
APR,2021,Newcastle,United Kingdom,548
APR,2021,Olsztyn-Mazury,Poland,46
APR,2021,Orsta¿Volda Hovden,Norway,278
APR,2021,Oslo - Gardermoen,Norway,6100
APR,2021,Poznan - Lawica,Poland,494
APR,2021,Rodos,Greece,532
APR,2021,Roros,Norway,108
APR,2021,Rorvik Ryum,Norway,187
APR,2021,Rost,Norway,100
APR,2021,Rotterdam,Netherlands,778
APR,2021,Rzeszow - Jasionka,Poland,144
APR,2021,Sandane  Anda,Norway,135
APR,2021,Sandnessjøen Stokka,Norway,298
APR,2021,Santorini,Greece,286
APR,2021,Shannon,Ireland,516
APR,2021,Skiathos,Greece,43
APR,2021,Sligo,Ireland,3
APR,2021,Sogndal Haukåsen,Norway,356
APR,2021,Sorkjosen,Norway,132
APR,2021,Southampton,United Kingdom,253
APR,2021,Stavanger,Norway,2907
APR,2021,Stockholm - Arlanda,Sweden,4492
APR,2021,Stockholm - Bromma,Sweden,888
APR,2021,Stokmarknes Skagen,Norway,310
APR,2021,Svalbard Longyear,Norway,102
APR,2021,Svolvær Helle,Norway,280
APR,2021,Szczecin - Goleniów,Poland,160
APR,2021,Thessaloniki,Greece,1548
APR,2021,Tromsø,Norway,2575
APR,2021,Trondheim,Norway,2315
APR,2021,Vadsø,Norway,500
APR,2021,Vardø Svartnes,Norway,166
APR,2021,Værøy,Norway,30
APR,2021,Warszawa - Chopina,Poland,4635
APR,2021,Warszawa - Modlin,Poland,381
APR,2021,Waterford,Ireland,25
APR,2021,Weston,Ireland,25
APR,2021,Wroclaw - Strachowice,Poland,637
APR,2021,Yerevan,Armenia,1186
APR,2021,Zakinthos,Greece,73
APR,2022,Aberdeen,United Kingdom,3125
APR,2022,Aktion,Greece,239
APR,2022,Alesund,Norway,1296
APR,2022,Alta,Norway,642
APR,2022,Amsterdam - Schiphol,Netherlands,35016
APR,2022,Andenes,Norway,239
APR,2022,Athens,Greece,15714
APR,2022,Bardufoss,Norway,290
APR,2022,Batsfjord,Norway,172
APR,2022,Belfast - Aldergrove,United Kingdom,3683
APR,2022,Belfast - City Airport,United Kingdom,1408
APR,2022,Bergen,Norway,7676
APR,2022,Berlevåg,Norway,126
APR,2022,Biggin Hill,United Kingdom,1937
APR,2022,Birmingham,United Kingdom,6217
APR,2022,Bodø,Norway,3095
APR,2022,Bristol,United Kingdom,4981
APR,2022,Bronnoysund Bronnoy,Norway,476
APR,2022,Bydgoszcz,Poland,241
APR,2022,Connaught,Ireland,558
APR,2022,Corfu,Greece,1409
APR,2022,Cork,Ireland,1711
APR,2022,Donegal,Ireland,146
APR,2022,Dublin,Ireland,18414
APR,2022,East Midlands,United Kingdom,4686
APR,2022,Edinburgh,United Kingdom,8198
APR,2022,Farnborough,United Kingdom,2595
APR,2022,Florø,Norway,694
APR,2022,Forde Bringeland,Norway,228
APR,2022,Gdansk,Poland,3235
APR,2022,Glasgow,United Kingdom,5168
APR,2022,Groningen,Netherlands,663
APR,2022,Göteborg,Sweden,3934
APR,2022,Hammerfest,Norway,773
APR,2022,Harstad - Narvik Evenes,Norway,910
APR,2022,Haugesund,Norway,647
APR,2022,Helsinki - Vantaa,Finland,10841
APR,2022,Heraklion,Greece,3276
APR,2022,Honningsvåg Valan,Norway,164
APR,2022,Katowice - Pyrzowice,Poland,2505
APR,2022,Kefallinia,Greece,233
APR,2022,Kerry - Farranfore,Ireland,391
APR,2022,Khania - Souda,Greece,1695
APR,2022,Kirkenes Høybuktmoen,Norway,553
APR,2022,Kos,Greece,781
APR,2022,Krakow - Balice,Poland,4926
APR,2022,Kristiansand Kjevik,Norway,954
APR,2022,Kristiansund Kvernberget,Norway,712
APR,2022,Lakselv Banak,Norway,134
APR,2022,Leknes,Norway,371
APR,2022,Lelystad,Netherlands,257
APR,2022,Lodz - Lublinek,Poland,235
APR,2022,London - City,United Kingdom,4165
